Participant,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q16_20,Q16_21,Q16_22,Q16_23,Q16_24,Q16_25,Q16_26,Q16_27,Q16_28,Q16_29,Q16_30,Q16_31,Q16_32,Q16_33,Q16_34,Q16_35,Q16_36,Q16_37,Q16_38,Q16_39,Q16_40,Q16_41,Q16_42,Q16_43,Q16_44,Q16_45,Q16_46,Q16_47,Q16_48,Q16_49,Q16_50,Q16_51,Q16_52,Q16_53,Q16_54,Q16_55,Q16_56,Q16_57,Q16_58,Q16_59,Q16_60,Q16_61,Q16_62,Q16_63,Others1,Top5Male,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q74_10,Q74_11,Q74_12,Q74_13,Q74_14,Q74_15,Q74_16,Q74_17,Q74_18,Q74_19,Q74_20,Q74_21,Q74_22,Q74_23,Q74_24,Q74_25,Q74_26,Q74_27,Q74_28,Q74_29,Q74_30,Q74_31,Q74_32,Q74_33,Q74_34,Q74_35,Q74_36,Q74_37,Q74_38,Q74_39,Q74_40,Q74_41,Q74_42,Q74_43,Q74_44,Q74_45,Q74_46,Q74_47,Q74_48,Q74_49,Q74_50,Q74_51,Q74_52,Q74_53,Q74_54,Q74_55,Q74_56,Q74_57,Q74_58,Q74_59,Q74_60,Q74_61,Q74_62,Others2,Top5female,Q0,ID1,ID2,ID3,ID4,ID5,ID6,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,MCB1,MCB2,MCB3,MCB4,MCB5,MCB6,MCB7,MCB8,Gender,Age,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_6_TEXT,Race,SchoolYear,Major,SES,Generation,Q7,Q8,AROS_Emotional,AROS_Standard,AROS_Devaluation,AROS_Thinking,AROS_TOTAL,MCB_Multi,MCB_Blind,EID_Exp,EID_Com,EID_TOTAL,Smart_M,Exotic_M,Passive_M,Traditional_M,Secretive_M,Methodical_M,Self_Centered_M,Asexual_M,Aggressive_M,Avante_Garde_M,Open_M,Spontaneous_M,Caring_M,Cruel_M,Smart_W,Exotic_W,Passive_W,Traditional_W,Secretive_W,Methodical_W,Self_Centered_W,Asexual_W,Aggressive_W,Avante_Garde_W,Open_W,Spontaneous_W,Caring_W,Cruel_W,AAWomen,AAMen,M16_1,M16_2,M16_3,M16_4,M16_5,M16_6,M16_7,M16_8,M16_9,M16_10,M16_11,M16_12,M16_13,M16_14,M16_15,M16_16,M16_17,M16_18,M16_19,M16_20,M16_21,M16_22,M16_23,M16_24,M16_25,M16_26,M16_27,M16_28,M16_29,M16_30,M16_31,M16_32,M16_33,M16_34,M16_35,M16_36,M16_37,M16_38,M16_39,M16_40,M16_41,M16_42,M16_43,M16_44,M16_45,M16_46,M16_47,M16_48,M16_49,M16_50,M16_51,M16_52,M16_53,M16_54,M16_55,M16_56,M16_57,M16_58,M16_59,M16_60,M16_61,M16_62,W74_1,W74_2,W74_3,W74_4,W74_5,W74_6,W74_7,W74_8,W74_9,W74_10,W74_11,W74_12,W74_13,W74_14,W74_15,W74_16,W74_17,W74_18,W74_19,W74_20,W74_21,W74_22,W74_23,W74_24,W74_25,W74_26,W74_27,W74_28,W74_29,W74_30,W74_31,W74_32,W74_33,W74_34,W74_35,W74_36,W74_37,W74_38,W74_39,W74_40,W74_41,W74_42,W74_43,W74_44,W74_45,W74_46,W74_47,W74_48,W74_49,W74_50,W74_51,W74_52,W74_53,W74_54,W74_55,W74_56,W74_57,W74_58,W74_59,W74_60,W74_61,W74_62,Smart_M2,Exotic_M2,Passive_M2,Traditional_M2,Secretive_M2,Methodical_M2,Self_Centered_M2,Asexual_M2,Aggressive_M2,Avante_Garde_M2,Open_M2,Spontaneous_M2,Caring_M2,Cruel_M2,Smart_W2,Exotic_W2,Passive_W2,Traditional_W2,Secretive_W2,Methodical_W2,Self_Centered_W2,Asexual_W2,Aggressive_W2,Avante_Garde_W2,Open_W2,Spontaneous_W2,Caring_W2,Cruel_W2
161,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,Ambitious  Intelligent Loyal to family ties Artistic Progressive,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,,Intelligent Passionate Sophisticated  Artistic Dependent,,5,4,4,4,5,5,1,2,4,1,1,1,1,1,4,1,3,1,3,1,1,1,4,1,1,1,1,1,3,1,7,7,7,7,5,7,7,2,2,26,,,,1,,,,4,3rd,Psychology,8,3,,,1.71,2,1,2.67,40,7,5.25,4.67,4.33,4.5,1,0,1,3,0,2,0,0,1,1,1,1,2,0,1,2,3,3,0,0,0,0,1,1,1,0,2,0,9,7,0.06,0,0,0,0.06,0,0,0,0.06,0.06,0,0,0.06,0,0.06,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0.06,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0.06,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0.06,0.06,0,0,0,0.06,0,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0,0.06,0,0.06,0,0.06,0.18,0,0.12,0,0,0.06,0.06,0.06,0.06,0.12,0,0.06,0.12,0.18,0.18,0,0,0,0,0.06,0.06,0.06,0,0.12,0
162,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Religious  - Church Loyal to family ties - Family drama Passionate - Their hobbies Tradition-Loving - Holidays Happy - Around their friends,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,Faithful - Relationships Passionate - Their hobbies Religious - Church Intelligent - School work Happy - Around their friends,Vietnamese,4,3,3,4,3,3,3,4,4,3,5,3,4,4,3,3,3,1,4,4,3,4,4,4,2,1,1,1,5,1,7,7,7,7,7,4,7,3,1,23,,1,,,,,,2,"1st in Sac State, I'm a transfer from community college",Kinesiology,2,1,Vietnam,23,4,3.67,1.63,3.67,74,7,5.25,3.67,3,3.33,1,1,0,2,0,2,0,0,0,0,1,1,0,0,1,2,1,3,1,0,0,0,0,0,0,1,1,0,7,6,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.08,0,0,0.08,0,0,0,0,0,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.08,0,0.1,0.1,0,0.2,0,0.2,0,0,0,0,0.1,0.1,0,0,0.08,0.16,0.08,0.24,0.08,0,0,0,0,0,0,0.08,0.08,0
163,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,,"Intelligent, Shy, Faithful, Reserved, Quiet",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,,"Sophisticated, Loyal to family ties, Neat, Reserved, Ambitious",Hispanic,4,5,4,5,4,5,4,3,3,1,2,1,1,4,1,4,1,1,3,3,1,3,3,1,1,1,1,1,1,1,7,6,7,7,4,7,7,7,2,18,,,,1,,,,4,1st,Nursing,4,2,,,2.14,2.67,1,2.33,46,6.75,6.25,4.33,4.67,4.5,2,1,4,2,1,0,0,0,1,1,2,0,2,0,1,1,5,2,1,0,0,0,1,1,0,0,1,0,9,8,0.05,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.07,0,0,0.07,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0,0,0,0.07,0,0,0,0,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0.1,0.05,0.2,0.1,0.05,0,0,0,0.05,0.05,0.1,0,0.1,0,0.07,0.07,0.35,0.14,0.07,0,0,0,0.07,0.07,0,0,0.07,0
164,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,"intelligent, shy, reserved, loyal to family ties, and quiet.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,"Intelligent, reserved, quiet, exotic, and loyal to family ties",Latina,5,4,5,5,5,5,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,7,7,7,7,7,7,1,2,21,,,,1,,,,4,3rd,social work,4,1,Mexico,20,1.29,1,1.13,1,27,7,5.5,5,4.67,4.83,1,0,4,2,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0,2,0,0,0,0,0,0,0,0,7,7,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.09,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.09,0,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.09,0,0,0,0,0,0,0.09,0,0.09,0,0,0,0,0,0,0.09,0,0,0,0.09,0,0.1,0,0.4,0.2,0,0,0,0,0,0,0,0,0.1,0,0.09,0.09,0.27,0.18,0,0.18,0,0,0,0,0,0,0,0
165,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,,,Intelligent: Asian American males exhibit this characteristics usually in the classroom or some type of academic setting. Superstitious: I usually hear Asian American males speak about their family's superstitions in either a get together or classroom.  Tradition Loving: They would most likely exhibit this characteristic in some type of social gathering.  Quiet: Asian American males display are most likely to exhibit this characteristic in either the classroom or some type of social gathering.  Shrewd: They would most likely exhibit this characteristic in the classroom or even outside of the classroom such as a workplace.,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,,Intelligent: Asian American females are most likely to exhibit this in the classroom. There is a stereotype that Asian Americans are academically intelligent.   Quiet: Being quiet and submissive is a common stereotype among Asian American women. This could be in the context of an intimate relationship.  Shrewd: They most likely exhibit this in the classroom and/or a workplace.  Attractive: Many people find Asian American women attractive.  Nurturant: They are most likely to exhibit this in an intimate relationship with a significant other or a friend.,Filipino,4,4,5,5,5,5,4,4,2,1,1,5,4,4,4,4,1,1,3,4,4,2,4,7,1,1,5,4,3,5,7,7,7,7,7,6,5,4,1,20,,1,,,,,,2,3rd,Health Science,8,1,Singapore,18,3.71,4,2.88,1.67,78,7,5.5,4.67,4.67,4.67,2,1,2,2,1,1,0,0,0,0,0,0,0,0,1,2,3,2,1,2,0,0,1,2,1,0,3,1,8,7,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.07,0.07,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0,0,0.07,0,0.07,0,0,0,0,0.07,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0.05,0,0,0.05,0,0.14,0.07,0.14,0.14,0.07,0.07,0,0,0,0,0,0,0,0,0.05,0.1,0.15,0.1,0.05,0.1,0,0,0.05,0.1,0.05,0,0.15,0.05
166,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,,Intelligent Scientifically-minded Loyal to family ties Unaggressive Sophisticated,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,,Passionate Artistic Honest Intelligent Loyal to family ties,Hispanic,5,5,4,5,5,5,1,4,2,1,2,1,1,1,5,3,1,1,2,6,1,1,4,1,1,1,1,1,2,1,7,7,7,6,7,7,7,6,2,26,,,,1,,,,4,3rd,psychology,8,3,,,2.14,3,1,1.33,45,6.75,6.75,5,4.67,4.83,2,1,2,4,0,0,0,0,1,1,0,1,2,0,3,2,3,4,0,0,0,0,1,1,1,1,2,0,12,8,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0.05,0,0,0.05,0,0,0,0.05,0.05,0,0.05,0.05,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0.05,0,0.1,0.05,0.1,0.2,0,0,0,0,0.05,0.05,0,0.05,0.1,0,0.15,0.1,0.15,0.2,0,0,0,0,0.05,0.05,0.05,0.05,0.1,0
167,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,"intelligent: in an academic setting, in the classroom, in advanced classes and college courses, specifically math and science classes quiet: out in public events shy: out with a lot of people in groups, hanging out reserved: will usually never volunteer answers in class, won't be outspoken or loud unless called on unaggressive: not really a face you see on the news being arrested, not somebody you see in fights",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"quiet: they are usually quiet around strangers in social settings, around acquaintances shy: around men, when speaking in class during discussions, public speaking reserved: do not share much information about themselves with their peers, teachers, only with their close friends and family intelligent: musically talented, can play many instruments, are good at math and science attractive: typically, asian females are seen as petite and attractive because they are younger-looking",Latino,4,4,4,4,4,4,1,3,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,7,7,7,7,1,3,4,1,2,20,,,,1,,,,4,3rd,Psychology,8,2,,,2.14,1,1.63,1.33,38,7,2.25,4,4,4,2,0,4,1,0,0,0,0,0,1,0,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,6,6,0.09,0,0,0,0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,0.18,0,0.36,0.09,0,0,0,0,0,0.09,0,0,0.18,0,0.13,0.13,0.52,0,0,0,0,0,0,0,0,0,0.13,0
168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,"Neat, traditional, conventional, superstitious, intelligent",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,"religious, nurturant, traditional, dependent, intelligent",South Asian,4,3,4,4,4,3,1,5,5,1,6,1,1,4,1,4,1,1,4,4,1,1,1,1,3,1,1,1,1,1,7,7,7,7,7,7,7,1,2,22,,1,,,,,,2,4th,psychology,8,1,Pakistan,14,3.14,2,1.25,2.33,51,7,5.5,4,3.33,3.67,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,6,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0,0.11,0,0,0.11,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.13,0,0.11,0,0,0.33,0,0,0,0,0.11,0,0,0,0,0,0.13,0,0.39,0.26,0,0,0,0,0,0,0,0,0.13,0
169,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,"Intelligent, Arrogant, Ambitious, Persistent, Quiet",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,"Intelligent, Reserved, Shy, Attractive, Ambitious",Pacific Islander,3,2,2,3,2,2,,2,2,4,2,4,1,4,4,4,2,3,2,1,5,3,5,5,2,1,3,1,5,2,7,7,7,6,6,6,7,2,1,18,,1,,,,,,2,,,,2,,,3.57,3,2.5,2.33,67,6.75,5.25,2.67,2,2.33,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,4,4,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0.14,0,0.28,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0.14,0.14,0.28,0,0,0,0.14,0,0.14,0,0,0,0,0
170,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,"attractive, loyal to family ties, neat, intelligent, tradition-loving",1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,,"attractive, shy, generous, conservative, quiet",Mexican American,5,5,5,4,3,4,2,4,5,1,2,1,4,5,4,3,4,1,5,4,2,5,4,5,2,2,5,1,6,2,4,3,2,5,7,7,7,4,2,24,,,,1,,,,4,4th,Psychology,1,2,,,3.86,3.83,1.88,4.67,79,3.5,6.25,4,4.67,4.33,1,2,3,3,0,2,0,0,0,0,0,0,1,0,2,2,5,5,0,0,0,1,0,1,0,1,2,0,14,11,0.07,0,0,0,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.07,0,0.07,0,0.07,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0.07,0.07,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0.05,0.05,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0.05,0.05,0,0.05,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0.07,0.14,0.21,0.21,0,0.14,0,0,0,0,0,0,0.07,0,0.1,0.1,0.25,0.25,0,0,0,0.05,0,0.05,0,0.05,0.1,0
171,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,,dorky,reserved- blind date conservative- classroom discussion shrewd- classroom discussion intelligent- classroom discussion  practical-hanging out with friends,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,,happy-go lucky- blind date sophisticated- classroom inhibited-classroom ambitious- conversation b/w friends  neat- in appearance and their living space,Mexican American,2,2,2,2,3,2,1,4,3,2,7,4,4,3,2,5,1,1,4,2,2,4,3,7,1,1,1,1,7,1,7,7,7,7,7,6,7,7,2,24,,,,1,,,,4,5th,Psychology,1,2,,,5.14,2.5,1.5,2.67,71,7,6.75,2.33,2,2.17,2,1,5,4,2,3,2,1,2,1,1,0,0,0,1,1,5,2,1,3,1,0,3,1,1,1,4,0,9,12,0.04,0,0,0,0.04,0,0.04,0,0.04,0,0,0.04,0,0,0,0,0,0.04,0.04,0,0.04,0.04,0,0.04,0.04,0,0,0.04,0.04,0,0,0,0,0,0.04,0,0,0.04,0.04,0.04,0,0,0.04,0.04,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,0.04,0,0,0.04,0,0.04,0.04,0,0,0.04,0.04,0,0.04,0,0.04,0.04,0,0.04,0,0.04,0,0,0,0.04,0.04,0,0,0,0.04,0,0,0,0.04,0.04,0,0,0.04,0,0,0.04,0.04,0,0.04,0,0,0.04,0,0,0.04,0.04,0,0,0,0,0.04,0.04,0,0,0.04,0.04,0.04,0,0,0.04,0,0,0,0,0.08,0.04,0.2,0.16,0.08,0.12,0.08,0.04,0.08,0.04,0.04,0,0,0,0.04,0.04,0.2,0.08,0.04,0.12,0.04,0,0.12,0.04,0.04,0.04,0.16,0
172,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,"Intelligent, reserved, sensitive, sophisticated,shy",1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,,"Reserved, artistic, progressive, effeminate, shy",African American,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,5,7,7,4,4,2,7,1,2,20,1,,,,,,,1,3rd,,7,5,,,1.14,1,1.13,1,26,5.75,3.5,5,5,5,1,0,4,4,0,2,0,0,1,2,1,0,2,0,1,2,4,3,0,0,0,1,0,3,1,0,3,0,10,10,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0.05,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0.05,0,0,0.05,0,0,0.05,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0.05,0,0.2,0.2,0,0.1,0,0,0.05,0.1,0.05,0,0.1,0,0.05,0.1,0.2,0.15,0,0,0,0.05,0,0.15,0.05,0,0.15,0
